,district,state,district_census_code,state_census_code,total,rural,urban
634,Nicobar,Andaman & Nicobar Islands,638,35,3.8,3.8,
242,East District,Sikkim,244,11,3.8,4.7,3
76,Fatehabad,Haryana,78,6,3.8,3.7,
628,Coimbatore,Tamil Nadu,632,33,3.8,,2.7
172,Kaushambi,Uttar Pradesh,174,9,3.8,3.4,
167,Mahoba,Uttar Pradesh,169,9,3.7,4.8,
109,Sikar,Rajasthan,111,8,3.7,3.1,
138,Ghaziabad,Uttar Pradesh,140,9,3.7,3.1,4
19,Reasi,Jammu & Kashmir,20,1,3.6,3.8,
479,Bhavnagar,Gujarat,481,24,3.6,1.8,7.4
416,Sheopur,Madhya Pradesh,418,23,3.6,3.8,
597,Thiruvananthapuram,Kerala,601,32,3.5,4.4,-2.4
18,Udhampur,Jammu & Kashmir,19,1,3.5,3.5,
616,Thanjavur,Tamil Nadu,620,33,3.5,4.9,0
8,Bandipore,Jammu & Kashmir,9,1,3.5,3.2,
478,Amreli,Gujarat,480,24,3.5,3.8,
267,Kiphire,Nagaland,269,13,3.5,4.4,
43,Muktsar,Punjab,44,3,3.5,2.7,
163,Jalaun,Uttar Pradesh,165,9,3.5,4.6,
587,Kozhikode,Kerala,591,32,3.5,3.0,3.9
475,Jamnagar,Gujarat,477,24,3.5,2.9,-4.8
196,Sant Ravidas Nagar,Uttar Pradesh,198,9,3.4,4.0,
116,Pali,Rajasthan,118,8,3.4,3.5,
601,Vellore,Tamil Nadu,605,33,3.4,5.7,1.2
585,Kannur,Kerala,589,32,3.4,4.9,-2.2
584,Kasaragod,Kerala,588,32,3.3,1.9,4.9
52,Sangrur,Punjab,53,3,3.3,3.7,
376,Bhadrak,Odisha,378,21,3.3,3.8,
46,Mansa,Punjab,47,3,3.2,3.9,
153,Hardoi,Uttar Pradesh,155,9,3.2,3.6,
609,Karur,Tamil Nadu,613,33,3.1,2.3,4.2
92,New Delhi,NCT Delhi,94,7,3.1,,3.1
377,Kendrapara,Odisha,379,21,3.1,3.2,
631,Puducherry,Puducherry,635,34,3.1,3.0,3.1
556,Raichur,Karnataka,559,29,3.0,1.0,
408,Raipur,Chhattisgarh,410,22,2.9,2.5,3.6
385,Puri,Odisha,387,21,2.9,2.2,
401,Raigarh,Chhattisgarh,403,22,2.8,3.3,
131,Muzaffarnagar,Uttar Pradesh,133,9,2.8,3.9,
410,Dhamtari,Chhattisgarh,412,22,2.8,2.9,
148,Bareilly,Uttar Pradesh,150,9,2.8,3.3,2
370,Sambalpur,Odisha,372,21,2.8,2.4,
126,Baran,Rajasthan,128,8,2.8,2.5,
97,Ganganagar,Rajasthan,99,8,2.8,3.9,
590,Thrissur,Kerala,594,32,2.8,4.5,-1.8
90,North East,NCT Delhi,92,7,2.8,,2.8
30,Solan,Himachal Pradesh,31,2,2.7,3.0,
272,Churachandpur,Manipur,274,14,2.7,2.9,
268,Kohima,Nagaland,270,13,2.7,5.6,0.9
177,Sultanpur,Uttar Pradesh,179,9,2.7,2.6,
88,North West,NCT Delhi,90,7,2.7,,2.7
51,Sahibzada Ajit Singh Nagar,Punjab,52,3,2.7,3.4,-2
472,Ahmadabad,Gujarat,474,24,2.7,,2.2
66,Hardwar,Uttarakhand,68,5,2.6,2.9,2.1
190,Mau,Uttar Pradesh,192,9,2.6,2.8,
68,Ambala,Haryana,70,6,2.6,1.0,5
175,Faizabad,Uttar Pradesh,177,9,2.6,2.9,
514,Thane,Maharashtra,517,27,2.6,,2.6
392,Nuapada,Odisha,394,21,2.6,2.8,
192,Jaunpur,Uttar Pradesh,194,9,2.6,2.5,
501,Wardha,Maharashtra,504,27,2.6,1.6,4.5
