district,state,district_census_code,state_census_code,total,rural,urban
Mahoba,Uttar Pradesh,169,9,1089,1073,
Banda,Uttar Pradesh,170,9,814,694,
Chitrakoot,Uttar Pradesh,171,9,1556,1636,
Fatehpur,Uttar Pradesh,172,9,1407,1423,
Pratapgarh,Uttar Pradesh,173,9,1755,1758,
Kaushambi,Uttar Pradesh,174,9,1412,1434,
Allahabad,Uttar Pradesh,175,9,1649,1582,
Bara Banki,Uttar Pradesh,176,9,2625,2809,
Faizabad,Uttar Pradesh,177,9,1754,1659,
Ambedkar Nagar,Uttar Pradesh,178,9,1285,1244,
Sultanpur,Uttar Pradesh,179,9,2266,2210,
Bahraich,Uttar Pradesh,180,9,2356,1849,
Shrawasti,Uttar Pradesh,181,9,2018,2046,
Balrampur,Uttar Pradesh,182,9,1611,1642,
Gonda,Uttar Pradesh,183,9,2641,2609,
Siddharthnagar,Uttar Pradesh,184,9,1863,1868,
Basti,Uttar Pradesh,185,9,4428,4496,
Sant Kabir Nagar,Uttar Pradesh,186,9,2457,2435,
Maharajganj,Uttar Pradesh,187,9,2191,2189,
Gorakhpur,Uttar Pradesh,188,9,2301,2271,
Kushinagar,Uttar Pradesh,189,9,4125,4167,
Deoria,Uttar Pradesh,190,9,2029,2018,
Azamgarh,Uttar Pradesh,191,9,1946,1901,
Mau,Uttar Pradesh,192,9,6068,6688,
Ballia,Uttar Pradesh,193,9,2004,2032,
Jaunpur,Uttar Pradesh,194,9,1557,1554,
Ghazipur,Uttar Pradesh,195,9,2090,1982,
Chandauli,Uttar Pradesh,196,9,2086,1756,
Varanasi,Uttar Pradesh,197,9,2592,1768,4870
Sant Ravidas Nagar,Uttar Pradesh,198,9,1244,1286,
Mirzapur,Uttar Pradesh,199,9,1312,1116,
Sonbhadra,Uttar Pradesh,200,9,1861,1203,
Etah,Uttar Pradesh,201,9,1430,1414,
Kanshiram Nagar,Uttar Pradesh,202,9,1125,1163,
Pashchim Champaran,Bihar,203,10,3156,3198,
Purba Champaran,Bihar,204,10,2539,2564,
Sheohar,Bihar,205,10,2195,2234,
Sitamarhi,Bihar,206,10,2278,2335,
